Overall_rank,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Country_or_region
5129,0.4936,0.3574,0.1334,0.2926,0.5423,0.941,0.4414,ujltozni
5130,0.3757,0.7291,0.4613,0.6431,0.7487,0.4468,0.5464,rhwmleso
5131,0.6132,0.4949,0.0965,0.175,0.9113,0.6293,0.1804,ubggnyjq
5132,0.9573,0.0916,0.1907,0.5071,0.9479,0.3957,0.0589,gawiuukm
5133,0.2866,0.8627,0.712,0.8915,0.0602,0.4337,0.767,uupbk
5134,0.5459,0.0102,0.9926,0.9033,0.8115,0.8474,0.7,gugdfp
5135,0.3626,0.1111,0.1001,0.5929,0.1752,0.4347,0.3745,waiz
5136,0.5719,0.9644,0.8594,0.4039,0.3813,0.7994,0.2277,wzxtvhtd
5137,0.7974,0.6709,0.097,0.8735,0.3937,0.8335,0.9938,olpsezq
5138,0.552,0.68,0.5395,0.0259,0.2884,0.4136,0.7428,ljqhpv
5139,0.1493,0.5234,0.9184,0.0299,0.2475,0.1506,0.1452,vohhlg
5140,0.2262,0.7792,0.3115,0.7952,0.271,0.2779,0.6728,zwpds
5141,0.0235,0.6271,0.8245,0.6157,0.5172,0.1331,0.6741,pehhg
5142,0.456,0.1459,0.8068,0.5456,0.2114,0.007,0.2061,edlq
5143,0.3733,0.8652,0.7441,0.8321,0.2519,0.1422,0.245,nren
5144,0.8859,0.7521,0.4221,0.7326,0.8322,0.3778,0.7776,pnjreec
5145,0.9706,0.6448,0.7922,0.1253,0.0499,0.2943,0.4498,yurknsh
5146,0.1775,0.2717,0.9742,0.3669,0.4375,0.2507,0.7216,vlqcjqpr
5147,0.0083,0.484,0.5171,0.9475,0.9701,0.6451,0.5094,vmly
5148,0.3741,0.471,0.9372,0.5403,0.3148,0.5708,0.0971,rkxlzas
5149,0.1182,0.8276,0.7742,0.4481,0.1784,0.1357,0.1016,yorjljtw
5150,0.6147,0.5909,0.4351,0.3132,0.2623,0.9967,0.2799,afhqd
5151,0.708,0.1032,0.8035,0.4794,0.2441,0.173,0.6101,qwuysmjg
5152,0.3323,0.8145,0.905,0.3807,0.017,0.0536,0.4451,xosogvkb
5153,0.0369,0.8889,0.7328,0.3061,0.0693,0.4613,0.3228,xnusne
5154,0.5909,0.7816,0.761,0.3762,0.0517,0.1645,0.2604,neje
5155,0.2898,0.6197,0.0774,0.1584,0.7657,0.5548,0.5313,xgvmyeil
5156,0.2278,0.4798,0.6018,0.6983,0.6884,0.0713,0.1201,mrkitm
5157,0.2938,0.6986,0.1602,0.9109,0.3329,0.8033,0.6063,evdf
5158,0.9432,0.3622,0.9025,0.6124,0.2336,0.1815,0.0262,dmfufnv
5159,0.5084,0.9908,0.7851,0.4875,0.2513,0.5406,0.049,toeqbxdg
5160,0.077,0.2485,0.5817,0.4649,0.3171,0.7353,0.0724,hyimao
5161,0.4589,0.7901,0.5682,0.1388,0.6337,0.386,0.4412,flsf
5162,0.5685,0.6659,0.8426,0.3429,0.6479,0.0088,0.4418,alnff
5163,0.0621,0.2249,0.3712,0.6236,0.1478,0.7619,0.181,udrtt
5164,0.7285,0.3417,0.8193,0.2187,0.829,0.6296,0.9712,leexj
5165,0.7136,0.256,0.2848,0.4304,0.8148,0.1291,0.2653,ynjrp
5166,0.3657,0.6914,0.5885,0.2402,0.7606,0.1573,0.099,cwqntc
5167,0.4603,0.0713,0.9545,0.8052,0.6245,0.6093,0.5218,nbobx
5168,0.1222,0.8895,0.6556,0.6957,0.7649,0.3977,0.1326,kcvyjzej
5169,0.0832,0.7304,0.635,0.2375,0.5721,0.187,0.7586,uhkptv
5170,0.7431,0.4516,0.876,0.1857,0.0302,0.372,0.9693,qdsjc
5171,0.7031,0.0174,0.849,0.5978,0.0296,0.1898,0.8913,fabtklnm
5172,0.9613,0.0513,0.0353,0.5208,0.1842,0.4906,0.173,pubegrdq
5173,0.1819,0.7876,0.6976,0.4446,0.8892,0.4329,0.2229,gfbzjehd
5174,0.0375,0.1959,0.8427,0.506,0.5912,0.754,0.1575,fpwg
5175,0.4551,0.8179,0.468,0.5269,0.5366,0.5819,0.3561,nzvc
5176,0.3541,0.8004,0.4561,0.6228,0.1709,0.4862,0.6587,fpey
5177,0.3623,0.3933,0.2016,0.8656,0.6583,0.6756,0.2227,kgxiblho
5178,0.2661,0.4849,0.7921,0.354,0.062,0.0359,0.7636,zkswds
5179,0.6427,0.7073,0.0649,0.2328,0.4865,0.6008,0.513,pmnbnw
5180,0.9761,0.5203,0.9075,0.6477,0.1445,0.4629,0.9124,ciaw
5181,0.7216,0.2623,0.6949,0.369,0.5734,0.5482,0.4329,ydfb
5182,0.2847,0.186,0.8506,0.1983,0.4096,0.5248,0.2322,iyfojtd
5183,0.9777,0.3352,0.1296,0.3779,0.5516,0.4542,0.8977,xldtng
5184,0.8696,0.0617,0.6539,0.6863,0.9577,0.8331,0.5088,sdhxrsgs
5185,0.4009,0.0485,0.1224,0.2476,0.6903,0.5718,0.3372,jdmv
5186,0.3583,0.3726,0.7939,0.8294,0.052,0.5833,0.866,mfnaaml
5187,0.3942,0.0303,0.2736,0.9878,0.2813,0.0239,0.9228,ymkvtw
5188,0.5329,0.9081,0.0505,0.7503,0.396,0.9233,0.3821,pbnqd
5189,0.2301,0.4879,0.9802,0.0195,0.4071,0.4285,0.6095,fqchwl
5190,0.4532,0.5805,0.7313,0.3017,0.3278,0.5762,0.9721,fadt
5191,0.8949,0.0706,0.8048,0.3691,0.3856,0.4956,0.9792,tpjwf
5192,0.5068,0.1736,0.8114,0.6742,0.4315,0.2523,0.9871,iwes
5193,0.0214,0.7244,0.772,0.9301,0.1073,0.0067,0.055,tiyv
5194,0.9893,0.1882,0.7243,0.6352,0.527,0.9804,0.4277,tvhow
5195,0.5371,0.1844,0.083,0.7971,0.7208,0.4985,0.5412,jjdxpre
5196,0.8083,0.6371,0.842,0.2912,0.4402,0.3718,0.9067,sfkbg
5197,0.143,0.6741,0.6035,0.0058,0.5918,0.8533,0.3371,qjpjbjwp
5198,0.0558,0.93,0.7602,0.6038,0.3912,0.8449,0.102,beaqaar
5199,0.0619,0.1912,0.4733,0.9081,0.278,0.7779,0.1855,cyhtk
5200,0.1731,0.2162,0.8643,0.541,0.9375,0.4833,0.9281,owev
5201,0.5628,0.8921,0.0578,0.6719,0.6583,0.2113,0.2024,ewzznzg
5202,0.2958,0.0171,0.9657,0.618,0.7669,0.7557,0.1332,rxjfhp
5203,0.1705,0.8997,0.7128,0.6704,0.5107,0.2433,0.073,yjpzd
5204,0.0295,0.2568,0.6996,0.0856,0.3466,0.7953,0.0828,apuq
5205,0.6123,0.741,0.4362,0.2109,0.4393,0.9603,0.9228,vweojht
5206,0.6328,0.0894,0.6951,0.3251,0.0173,0.5558,0.2892,czrn
5207,0.5694,0.1597,0.2781,0.1121,0.8133,0.6326,0.144,lxoww
5208,0.4358,0.6331,0.9662,0.7853,0.5703,0.1299,0.1677,fpgdf
5209,0.2928,0.0064,0.5155,0.1616,0.4389,0.4587,0.6439,frzrncj
5210,0.108,0.785,0.7182,0.6846,0.3293,0.139,0.9032,hpnnriyu
5211,0.8462,0.3974,0.6405,0.7181,0.9165,0.485,0.5104,mnxqdwls
5212,0.8446,0.3517,0.0522,0.4385,0.3967,0.8928,0.1313,guqjylzk
5213,0.4083,0.1641,0.8226,0.6135,0.6046,0.2086,0.7887,fsinky
5214,0.5716,0.9893,0.0945,0.6366,0.3733,0.8292,0.3245,oijmmghx
5215,0.323,0.8873,0.0322,0.8857,0.8015,0.3113,0.9069,siedyj
5216,0.1949,0.6342,0.231,0.7779,0.7887,0.9585,0.5406,ulnkzil
5217,0.566,0.1493,0.335,0.6949,0.147,0.3079,0.6229,homs
5218,0.0423,0.8817,0.5119,0.6025,0.8482,0.1508,0.6481,fcvki
5219,0.5601,0.6156,0.3861,0.9336,0.4501,0.0539,0.2022,hexn
5220,0.9898,0.6187,0.3825,0.6944,0.1202,0.686,0.9353,hozjl
5221,0.2255,0.7614,0.2381,0.3871,0.335,0.8534,0.7297,yxih
5222,0.588,0.9117,0.5007,0.2772,0.7781,0.9618,0.6731,vkqmh
5223,0.198,0.7303,0.4646,0.5787,0.9175,0.2787,0.581,yoibnt
5224,0.6405,0.8689,0.8906,0.6889,0.9118,0.6076,0.2302,ebzhbd
5225,0.2426,0.6654,0.4183,0.7649,0.9894,0.4065,0.0485,uphsu
5226,0.8322,0.5207,0.2085,0.8888,0.4647,0.5922,0.2234,ovepsmil
5227,0.721,0.3111,0.9683,0.8858,0.0957,0.705,0.0488,kkrd
5228,0.9697,0.1267,0.6993,0.1399,0.71,0.7917,0.0336,ikyhoxm
5229,0.1406,0.6459,0.9405,0.6883,0.9918,0.8561,0.5709,pxyzy
5230,0.5788,0.2291,0.4429,0.143,0.3751,0.2929,0.5359,jwyaqfej
5231,0.6982,0.7623,0.8863,0.7179,0.4183,0.2724,0.013,jfgytg
5232,0.2774,0.633,0.1444,0.1161,0.7321,0.1885,0.8616,omum
5233,0.4113,0.055,0.2694,0.6363,0.7259,0.1265,0.6193,wrac
5234,0.349,0.8042,0.6654,0.9073,0.8005,0.156,0.5445,wzbkte
5235,0.6219,0.4013,0.1782,0.8463,0.6543,0.8502,0.0422,obigbu
5236,0.2508,0.2953,0.2593,0.4381,0.619,0.6737,0.6965,yjalf
5237,0.2479,0.7378,0.3035,0.9373,0.555,0.2029,0.4446,hljezvq
5238,0.1677,0.8111,0.4465,0.0097,0.3857,0.1448,0.2134,xqghz
5239,0.8137,0.1579,0.6955,0.2259,0.5761,0.085,0.0394,hbromxa
5240,0.4188,0.4952,0.607,0.5781,0.4168,0.8337,0.2349,tgdpot
5241,0.4208,0.5758,0.8751,0.9594,0.7831,0.5657,0.1754,byynckwv
5242,0.9511,0.3221,0.5242,0.6725,0.8704,0.7705,0.985,kcia
5243,0.9812,0.6961,0.142,0.054,0.9123,0.848,0.8216,enoww
5244,0.5917,0.1061,0.4755,0.8043,0.9028,0.5563,0.7789,psnvkkqs
5245,0.1049,0.511,0.0456,0.9226,0.0704,0.6322,0.4468,cylgpcjq
5246,0.4077,0.9141,0.8931,0.8848,0.8039,0.8666,0.0354,utxt
5247,0.9788,0.2007,0.1767,0.6159,0.8445,0.2194,0.0953,atdtrv
5248,0.5718,0.4713,0.1351,0.4526,0.4427,0.6861,0.432,yosdmk
5249,0.0401,0.6646,0.7562,0.0525,0.0422,0.1961,0.2696,rgqe
5250,0.5219,0.6071,0.2855,0.8823,0.526,0.4087,0.2267,mpbs
5251,0.8286,0.385,0.5271,0.7305,0.7547,0.948,0.1004,xuiwbep
5252,0.3882,0.6935,0.932,0.8392,0.6968,0.9925,0.0018,ldnec
5253,0.1505,0.4392,0.6402,0.8087,0.0147,0.8493,0.749,acgi
5254,0.5495,0.0705,0.8639,0.4138,0.1474,0.6153,0.2622,gbpur
5255,0.7094,0.2097,0.0025,0.1858,0.0245,0.0231,0.936,mgsofkoy
5256,0.2775,0.7339,0.0051,0.0708,0.7498,0.8426,0.7127,doquue
5257,0.455,0.8755,0.1125,0.6557,0.2866,0.5199,0.3458,gtnxrq
5258,0.4112,0.7873,0.682,0.3231,0.1887,0.325,0.977,kwtpwftk
5259,0.6256,0.942,0.0977,0.9403,0.5563,0.2706,0.2497,nnjod
5260,0.4861,0.4531,0.2047,0.0212,0.1531,0.6851,0.4527,gtdlilz
5261,0.7034,0.1124,0.2396,0.7249,0.6353,0.6768,0.1151,wdvijb
5262,0.3965,0.9012,0.4652,0.3639,0.848,0.0597,0.4182,erefk
5263,0.1128,0.761,0.1069,0.2985,0.6496,0.867,0.2321,avmjdopw
5264,0.6472,0.3237,0.3496,0.148,0.0265,0.7941,0.2854,alqo
5265,0.8648,0.885,0.8603,0.4937,0.8402,0.6019,0.4628,tckwiof
5266,0.886,0.7862,0.1791,0.8805,0.9234,0.1499,0.9824,mvrv
5267,0.7814,0.3186,0.1868,0.71,0.8276,0.0286,0.6066,rxshzsiq
5268,0.0407,0.7648,0.4913,0.8583,0.0659,0.9532,0.78,cygjokdi
5269,0.4264,0.0246,0.7601,0.1287,0.126,0.0898,0.2152,zzwbmnnz
5270,0.4938,0.1991,0.1498,0.5324,0.6812,0.9963,0.2874,dkdokgul
5271,0.5568,0.4683,0.1513,0.4263,0.8099,0.5632,0.1884,oflltdio
5272,0.9843,0.9995,0.9541,0.0107,0.3788,0.5477,0.2468,hhwpghk
5273,0.3574,0.0728,0.193,0.1918,0.6903,0.2759,0.6081,radlvf
5274,0.2916,0.4516,0.2971,0.4998,0.2034,0.4551,0.2142,jgev
5275,0.041,0.8238,0.0757,0.6488,0.0883,0.0808,0.337,vcrpvyx
5276,0.8176,0.3729,0.6096,0.2869,0.7777,0.3942,0.5989,kjonq
5277,0.6603,0.2028,0.6728,0.115,0.0782,0.8887,0.6504,yoedrs
5278,0.5131,0.1364,0.0648,0.981,0.0545,0.4229,0.3632,tyynco
5279,0.3326,0.5745,0.9488,0.0681,0.4436,0.0075,0.372,nlwjfarx
5280,0.6796,0.2868,0.8314,0.2377,0.0394,0.1387,0.8045,vlder
5281,0.6449,0.7913,0.3036,0.7913,0.0439,0.1981,0.0512,fwbwks
5282,0.7577,0.2085,0.4891,0.1707,0.7124,0.1771,0.6628,osnsik
5283,0.4604,0.2451,0.3655,0.6295,0.5681,0.0683,0.8124,fgbhdr
5284,0.0435,0.1446,0.1126,0.2393,0.0732,0.853,0.2979,hgdu
5285,0.7793,0.3149,0.9563,0.7367,0.959,0.0609,0.119,mkodvz
5286,0.0495,0.133,0.2879,0.2467,0.809,0.5785,0.3009,bbynr
5287,0.8231,0.2584,0.6957,0.9476,0.0843,0.7656,0.6663,zrmt
5288,0.9091,0.1682,0.8615,0.1037,0.4372,0.3888,0.5821,wikfhhrz
5289,0.7999,0.3215,0.1012,0.1258,0.5849,0.6727,0.7893,nxcou
5290,0.8031,0.1252,0.8516,0.0674,0.8898,0.4856,0.5637,xlqsgeu
5291,0.5744,0.4758,0.5469,0.5164,0.5376,0.2573,0.3874,vbec
5292,0.1201,0.3418,0.7053,0.2235,0.7719,0.9254,0.0816,gqyxi
5293,0.7779,0.7577,0.2329,0.2509,0.1307,0.7986,0.6359,qleq
5294,0.676,0.4636,0.7414,0.0936,0.2241,0.9513,0.1836,ckzwqmln
5295,0.1992,0.7882,0.7878,0.2948,0.2669,0.604,0.8211,fwtal
5296,0.5952,0.8506,0.3211,0.4772,0.5621,0.9157,0.3162,qsexbxe
5297,0.8759,0.5835,0.3384,0.3374,0.0876,0.2473,0.3408,xdklvdu
5298,0.3078,0.5478,0.706,0.294,0.0671,0.3393,0.7945,rpnlgb
5299,0.7068,0.4519,0.4128,0.7856,0.5506,0.0624,0.6218,cwegnqam
5300,0.8217,0.3393,0.7569,0.2279,0.6478,0.8941,0.289,zcgkxtz
5301,0.8416,0.2841,0.5036,0.6077,0.7641,0.337,0.2908,inizebba
5302,0.7017,0.0012,0.3076,0.5213,0.3717,0.2874,0.4609,lzgwps
5303,0.8551,0.7966,0.9538,0.2293,0.7053,0.8498,0.8493,ktdce
5304,0.1806,0.106,0.3313,0.738,0.1127,0.7029,0.5806,atnotphb
5305,0.5613,0.9622,0.7098,0.5335,0.881,0.5393,0.7398,hqjanmo
5306,0.4379,0.4412,0.047,0.5299,0.8047,0.1597,0.213,rwkjguim
5307,0.1713,0.9599,0.9239,0.193,0.4454,0.8303,0.1451,sqbt
5308,0.7015,0.2026,0.1618,0.1628,0.2093,0.6868,0.0702,mojl
5309,0.6722,0.2745,0.8778,0.7599,0.6112,0.991,0.9471,mrnce
5310,0.0195,0.5666,0.0227,0.902,0.9999,0.3463,0.2895,tccxeth
5311,0.6043,0.1924,0.7949,0.6447,0.2682,0.3792,0.0267,vnoetnb
5312,0.0292,0.2137,0.5402,0.3966,0.5158,0.8623,0.166,fvnpnj
5313,0.6996,0.0108,0.9113,0.7003,0.5622,0.4695,0.4952,ojbu
5314,0.9342,0.8288,0.7979,0.7596,0.9899,0.4807,0.1634,kvxzdmht
5315,0.6827,0.7643,0.0114,0.5598,0.5993,0.5605,0.0087,zyqv
5316,0.6479,0.6641,0.9343,0.177,0.1009,0.5572,0.7787,ceddvyks
5317,0.9321,0.9163,0.7367,0.1632,0.7343,0.5779,0.7091,uqjkf
5318,0.6117,0.5043,0.6656,0.0526,0.2678,0.5327,0.4351,zqezgpd
5319,0.1451,0.6873,0.2765,0.8647,0.2009,0.8403,0.8648,ijglinr
5320,0.475,0.4197,0.7943,0.0834,0.1413,0.5786,0.3064,kgad
5321,0.4351,0.1119,0.732,0.5658,0.3741,0.6084,0.5323,oyrf
5322,0.5627,0.1906,0.8179,0.0967,0.5678,0.3016,0.8204,wvja
5323,0.8853,0.0465,0.9248,0.8232,0.4713,0.5325,0.2406,gfgpezo
5324,0.0555,0.991,0.9348,0.1658,0.7804,0.5664,0.0355,salfmh
5325,0.9997,0.8112,0.5428,0.4403,0.9064,0.3248,0.7139,lwmwfqou
5326,0.9246,0.9092,0.8131,0.8242,0.4096,0.1859,0.4144,qhoblyw
5327,0.5948,0.6441,0.4254,0.2857,0.1028,0.6539,0.9805,npsb
5328,0.8866,0.9953,0.5642,0.6263,0.7642,0.3339,0.4041,qmjq
5329,0.6988,0.844,0.6681,0.812,0.9185,0.3392,0.4848,rjxmdlf
5330,0.3033,0.4732,0.6011,0.933,0.916,0.08,0.9878,qimh
5331,0.6642,0.4476,0.1194,0.6166,0.3382,0.7857,0.6967,mgjesze
5332,0.9061,0.9915,0.1365,0.7031,0.8066,0.132,0.582,efee
5333,0.2056,0.2211,0.9751,0.2488,0.27,0.0866,0.1291,intle
5334,0.8526,0.5365,0.5483,0.4778,0.8765,0.1127,0.2175,yobahw
5335,0.63,0.013,0.507,0.4707,0.0263,0.942,0.0487,btjues
5336,0.1856,0.5152,0.0694,0.9375,0.9738,0.5995,0.5337,kwibbf
5337,0.1372,0.5782,0.2036,0.6784,0.2652,0.6767,0.2886,uvwyz
5338,0.4989,0.7386,0.5273,0.8713,0.9657,0.6973,0.3175,ucpzm
5339,0.2173,0.9742,0.6127,0.2573,0.6449,0.5537,0.3816,dguii
5340,0.338,0.1735,0.7235,0.2121,0.4062,0.6801,0.2404,kttimsb
5341,0.7898,0.3494,0.9455,0.5767,0.1421,0.2269,0.5133,dzomepw
5342,0.5613,0.9655,0.8386,0.793,0.0718,0.4857,0.8403,pywds
5343,0.15,0.0843,0.1426,0.5779,0.4966,0.9614,0.2983,xvkneq
5344,0.8687,0.8573,0.6075,0.851,0.8928,0.7492,0.4986,mewqzcqk
5345,0.2561,0.5356,0.746,0.1847,0.9986,0.9682,0.9825,lmqbxc
5346,0.3844,0.0023,0.8836,0.7246,0.9257,0.6977,0.6735,vehzjmpy
5347,0.3976,0.2554,0.8363,0.6889,0.8857,0.7779,0.8728,qgkaxsqf
5348,0.0923,0.4458,0.1725,0.0127,0.0953,0.8257,0.5459,yvxiaelp
5349,0.4618,0.9768,0.9784,0.7983,0.2487,0.7984,0.3505,hpifjq
5350,0.4805,0.7602,0.5906,0.1633,0.1426,0.4243,0.2827,ymnmfp
5351,0.3544,0.9878,0.2323,0.9246,0.0512,0.9025,0.9841,uxyrg
5352,0.3157,0.2491,0.2012,0.9474,0.5446,0.7701,0.3352,kagiu
5353,0.3029,0.8954,0.8421,0.2803,0.7471,0.1278,0.5024,hapyj
5354,0.1714,0.2127,0.8299,0.8827,0.3631,0.7746,0.4871,uazixqp
5355,0.7526,0.2061,0.6523,0.733,0.744,0.2662,0.3003,yfemcbsg
5356,0.9671,0.8283,0.1764,0.0664,0.74,0.8164,0.5623,oseja
5357,0.5486,0.7129,0.4107,0.1366,0.9341,0.0405,0.0347,ozqwleak
5358,0.6054,0.1349,0.7327,0.5248,0.0462,0.9439,0.0933,znadlo
5359,0.2829,0.5312,0.3097,0.3005,0.6852,0.5308,0.0779,cbbi
5360,0.8084,0.6372,0.1243,0.5468,0.2241,0.9406,0.778,bobna
5361,0.6448,0.2032,0.7721,0.2745,0.5731,0.6779,0.3213,lgbifew
5362,0.3106,0.6396,0.2999,0.2169,0.4499,0.2213,0.4905,lugsf
5363,0.0249,0.2972,0.2314,0.7968,0.378,0.3311,0.0854,xpurls
5364,0.6657,0.3654,0.111,0.8859,0.1962,0.6875,0.9244,ezotwurd
5365,0.8986,0.3995,0.5969,0.0858,0.7816,0.8883,0.7189,qjndviv
5366,0.929,0.6958,0.4791,0.543,0.0434,0.4937,0.8148,glqjl
5367,0.5216,0.5892,0.194,0.0004,0.926,0.8057,0.6733,meggghc
5368,0.1289,0.7933,0.4333,0.8383,0.1612,0.9696,0.6324,pxwi
5369,0.7061,0.874,0.8453,0.674,0.7082,0.8509,0.3439,vjukn
5370,0.673,0.1835,0.7491,0.3635,0.4924,0.2727,0.3042,mmljhz
5371,0.6838,0.5798,0.9117,0.0552,0.1244,0.7844,0.2938,vzed
5372,0.6324,0.8911,0.8173,0.0882,0.0877,0.1462,0.7343,sbek
5373,0.0529,0.0617,0.7607,0.2127,0.6979,0.1634,0.2751,ghmm
5374,0.7417,0.1343,0.643,0.5676,0.2065,0.8868,0.206,xvbnfpg
5375,0.2298,0.7877,0.5151,0.8226,0.8876,0.4669,0.7834,ononrj
5376,0.6258,0.3491,0.6099,0.3642,0.2499,0.3473,0.7193,mdqtkkr
5377,0.6176,0.6392,0.4041,0.2012,0.7433,0.6003,0.27,ivuri
5378,0.1927,0.3817,0.9609,0.0775,0.7137,0.1663,0.4377,gddytn
5379,0.3607,0.5227,0.7744,0.2254,0.8549,0.3327,0.644,djuype
5380,0.1667,0.2808,0.1347,0.6097,0.2504,0.6817,0.73,aystpc
5381,0.3023,0.2654,0.4808,0.5478,0.4076,0.4864,0.4095,lhbycdp
5382,0.1133,0.0504,0.1608,0.3712,0.9788,0.0958,0.6684,dqoadg
5383,0.7791,0.3649,0.3096,0.2895,0.979,0.7694,0.4398,ccbedhe
5384,0.1279,0.872,0.6957,0.0019,0.7064,0.0024,0.5913,ixogzwvs
5385,0.8112,0.6408,0.2231,0.0284,0.1109,0.7541,0.3287,fdieg
5386,0.6987,0.0877,0.1758,0.0435,0.2346,0.8288,0.5653,ahinwx
5387,0.8326,0.9695,0.5523,0.7018,0.3272,0.0505,0.8255,jvja
5388,0.7543,0.5667,0.5387,0.7266,0.658,0.1237,0.8988,vbunzk
5389,0.3622,0.048,0.9149,0.4949,0.5534,0.8273,0.7243,gasfe
5390,0.8082,0.9308,0.6878,0.496,0.1703,0.5729,0.6179,anvff
5391,0.5938,0.7474,0.6452,0.8222,0.8604,0.3078,0.135,ddjrjqhu
5392,0.4534,0.5481,0.4387,0.0789,0.2071,0.899,0.0128,vdbu
5393,0.0619,0.9498,0.9424,0.5907,0.1343,0.0557,0.4217,noxdqv
5394,0.6458,0.4054,0.1119,0.3192,0.6339,0.6608,0.4264,cbma
5395,0.9643,0.9804,0.8509,0.1171,0.835,0.1193,0.3663,wmhpqog
5396,0.8929,0.1196,0.5783,0.4227,0.5025,0.9702,0.3745,nqkp
5397,0.2446,0.575,0.0143,0.642,0.5844,0.8081,0.9292,oezcug
5398,0.2198,0.307,0.5118,0.9286,0.9593,0.0915,0.4926,zeemqy
5399,0.4716,0.1783,0.0508,0.9433,0.974,0.1559,0.858,idqf
5400,0.5205,0.5623,0.3267,0.6543,0.7604,0.3706,0.1579,khrk
5401,0.8106,0.9118,0.8761,0.8802,0.4203,0.8697,0.0059,jniyr
5402,0.5003,0.355,0.5163,0.1747,0.5119,0.7449,0.0756,jnswbn
5403,0.1822,0.6235,0.174,0.0973,0.3534,0.4109,0.0744,lthon
5404,0.8949,0.3488,0.9993,0.1028,0.7675,0.7482,0.8669,fgwrtt
5405,0.4848,0.6293,0.6198,0.1596,0.6541,0.0396,0.4259,vnadcwbq
5406,0.5592,0.8207,0.3478,0.1896,0.8993,0.8374,0.0391,uhuoe
5407,0.7208,0.9645,0.8476,0.5614,0.8142,0.0947,0.3631,xkzopvkx
5408,0.901,0.0086,0.9922,0.2257,0.9147,0.3842,0.5966,pgyc
5409,0.8708,0.0918,0.1204,0.0913,0.5383,0.0854,0.7231,grmgkdcr
5410,0.6929,0.8328,0.9261,0.5096,0.0149,0.9074,0.6149,gxxhybdo
5411,0.2168,0.7887,0.667,0.2962,0.2245,0.7554,0.3686,kfkq
5412,0.145,0.9886,0.5774,0.3129,0.3399,0.2427,0.8,hbiln
5413,0.453,0.9145,0.8752,0.533,0.4192,0.7313,0.277,ujgpeia
5414,0.9521,0.0022,0.4611,0.1566,0.1717,0.1134,0.4788,kmgym
5415,0.1356,0.9226,0.4329,0.3817,0.752,0.507,0.1672,bxftqa
5416,0.2265,0.6723,0.0713,0.5311,0.9595,0.4858,0.0193,qevhhyuy
5417,0.3957,0.4641,0.6839,0.6369,0.5007,0.1742,0.8004,fikuzen
5418,0.3467,0.3956,0.0272,0.257,0.309,0.8235,0.9852,kfmqdht
5419,0.642,0.2253,0.6681,0.8423,0.6237,0.52,0.4667,dvrba
5420,0.956,0.803,0.8362,0.5776,0.3837,0.231,0.2493,pomwz
5421,0.4191,0.8928,0.7283,0.9787,0.4037,0.1532,0.8483,bxvnvd
5422,0.1939,0.3177,0.4508,0.2254,0.4041,0.51,0.3772,oxou
5423,0.1069,0.2175,0.4462,0.5631,0.4923,0.2244,0.9844,xbnby
5424,0.3621,0.5992,0.6186,0.5657,0.9954,0.0023,0.5726,isolry
5425,0.4884,0.3828,0.8559,0.6357,0.1996,0.5669,0.9869,mbkgrt
5426,0.707,0.5996,0.9112,0.6994,0.5879,0.1132,0.3368,surnat
5427,0.5049,0.443,0.5244,0.1308,0.3669,0.521,0.8961,ldxohv
5428,0.0277,0.7393,0.6041,0.7853,0.9381,0.9329,0.2792,xuupq
5429,0.7869,0.3543,0.4015,0.7781,0.1654,0.8129,0.3423,xxny
5430,0.9574,0.6336,0.2303,0.4962,0.8212,0.6893,0.9493,ybgd
5431,0.4939,0.1893,0.2426,0.2598,0.4584,0.4076,0.7075,nieaobr
5432,0.7176,0.895,0.5327,0.6253,0.7882,0.0063,0.8184,gklvtz
5433,0.4818,0.5295,0.5607,0.3726,0.3509,0.0615,0.9499,oernqkcm
5434,0.8247,0.7519,0.7837,0.7658,0.1975,0.1444,0.9481,rmfrogfz
5435,0.9693,0.6053,0.2473,0.2988,0.363,0.8557,0.0511,ivgzzk
5436,0.9357,0.9173,0.3341,0.9886,0.1935,0.6756,0.3214,payo
5437,0.7714,0.8957,0.6575,0.5202,0.6278,0.0993,0.3898,opzkeoe
5438,0.9335,0.6935,0.4238,0.6651,0.0143,0.0621,0.4601,ublkfjsu
5439,0.9615,0.4948,0.6277,0.3228,0.5493,0.3788,0.3893,mdan
5440,0.2374,0.2846,0.5489,0.0189,0.0313,0.2081,0.2845,wfftxn
5441,0.6646,0.7771,0.3324,0.3131,0.0531,0.6779,0.0246,wsaehw
5442,0.5313,0.8966,0.9246,0.0657,0.7435,0.4244,0.4047,cnpgoj
5443,0.8046,0.3572,0.3014,0.0845,0.9248,0.3254,0.9221,xfuxw
5444,0.5239,0.8386,0.8492,0.1963,0.5843,0.433,0.8629,mbldg
5445,0.4322,0.2916,0.7725,0.1578,0.7209,0.7905,0.3433,hfswjxxo
5446,0.5301,0.6617,0.269,0.3612,0.5103,0.3844,0.3513,qmpgetg
5447,0.8064,0.9582,0.2832,0.5445,0.8524,0.0416,0.9923,gxoid
5448,0.7288,0.7327,0.8823,0.1256,0.6433,0.7382,0.9868,vqhn
5449,0.3884,0.1356,0.0405,0.7639,0.9678,0.8846,0.3203,thkzd
5450,0.2639,0.5539,0.5219,0.9542,0.9055,0.7429,0.9034,vecpqpsp
